Customer ID,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Age,Married,Number of Dependents,Latitude,Longitude,Population,Churn Value
0094-OIFMO,0,11,Offer D,Yes,11.59,No,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,Female,78,No,1,34.207295,-118.400022,57146,1
9947-OTFQU,0,15,Offer D,Yes,29.11,No,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,Male,65,No,0,34.097345,-117.906736,33817,1
9514-JDSKI,1,1,Offer E,No,0.0,No,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0,0.0,Male,77,Yes,0,34.074492,-118.01462,62660,1
7273-TEFQD,0,3,Offer E,No,0.0,No,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,0,0.0,Male,67,No,0,34.038983,-117.991372,30802,1
3606-TWKGI,0,13,Offer D,Yes,32.68,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,Male,68,No,0,33.976753,-117.897367,46342,1
4385-GZQXV,0,16,Offer D,Yes,9.43,No,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,Female,68,No,0,34.074087,-117.605618,49474,1
3488-PGMQJ,0,8,No Offer,Yes,1.78,No,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0.0,0,14.24,Male,66,No,0,32.827184,-116.703729,16486,1
7534-BFESC,0,24,Offer C,Yes,30.87,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,Male,69,No,0,32.85723,-117.209774,34902,1
8098-LLAZX,0,4,Offer E,Yes,31.61,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0,126.44,Female,74,No,0,32.85723,-117.209774,34902,1
0265-EDXBD,2,32,Offer C,Yes,47.34,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,Male,76,Yes,0,32.85723,-117.209774,34902,1
2840-XANRC,1,24,Offer C,Yes,16.1,No,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0,386.40000000000003,Male,77,Yes,0,32.85723,-117.209774,34902,1
5020-ZSTTY,0,54,Offer B,Yes,12.08,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,Female,70,No,0,32.85723,-117.209774,34902,1
5804-LEPIM,0,2,Offer E,Yes,13.17,No,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0,26.34,Female,74,No,0,32.85723,-117.209774,34902,1
0623-IIHUG,0,21,No Offer,No,0.0,No,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0,0,0.0,Female,77,No,0,32.85723,-117.209774,34902,1
9057-MSWCO,0,27,No Offer,No,0.0,No,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0,140,0.0,Male,71,Yes,0,32.85723,-117.209774,34902,1
4895-TMWIR,1,11,No Offer,Yes,29.54,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0,324.94,Male,79,Yes,0,32.85723,-117.209774,34902,1
0533-BNWKF,2,55,Offer B,Yes,42.82,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,Female,66,Yes,0,32.85723,-117.209774,34902,1
0334-GDDSO,0,3,Offer E,Yes,9.22,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.660000000000004,Male,77,No,0,32.85723,-117.209774,34902,1
5564-NEMQO,0,1,Offer E,Yes,35.09,No,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,20,35.09,Female,80,No,0,33.53604,-116.119222,17018,1
6235-VDHOM,0,5,Offer E,No,0.0,No,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0,0.0,Female,77,No,0,34.004379,-117.447864,63999,1
5609-CEBID,0,20,No Offer,Yes,48.73,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0.0,80,974.5999999999999,Female,77,No,0,33.644585,-116.871544,39264,1
5956-VKDTT,4,5,Offer E,Yes,45.76,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0,228.79999999999998,Female,72,Yes,0,33.970661,-117.255039,46214,1
0257-ZESQC,2,27,No Offer,Yes,7.02,No,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,Female,80,Yes,0,33.828289,-117.201666,26357,1
2865-TCHJW,0,4,No Offer,Yes,48.35,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,0,193.4,Female,74,No,0,33.848733,-117.788357,36301,1
5192-EBGOV,0,1,No Offer,Yes,45.81,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0,45.81,Female,68,No,0,33.924143,-117.79387,1408,1
3419-SNJJD,3,65,Offer B,Yes,18.39,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,0,1195.3500000000001,Female,78,Yes,0,33.884073,-117.732197,20893,1
4554-YGZIH,3,49,Offer B,Yes,22.92,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0,1123.0800000000002,Male,75,Yes,0,34.420998,-119.60137,576,1
5099-BAILX,1,43,Offer B,Yes,14.52,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,Male,77,Yes,0,34.419203,-119.710008,31727,1
4913-EHYUI,0,56,Offer B,Yes,48.8,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0,2732.7999999999997,Male,80,Yes,0,35.869626,-119.498771,1054,1
1626-ERCMM,7,20,No Offer,Yes,5.31,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0,106.19999999999999,Male,75,Yes,0,36.057458,-118.591951,191,1
5644-PDMZC,0,2,No Offer,Yes,47.47,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0.0,0,94.94,Female,69,No,0,35.772244,-119.209689,37280,1
4160-AMJTL,0,8,No Offer,Yes,27.95,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0.0,0,223.6,Female,74,No,0,35.215731,-119.57013,626,1
0823-HSCDJ,0,52,No Offer,No,0.0,No,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,Male,76,No,0,33.507255,-117.029473,46171,1
0067-DKWBL,0,2,No Offer,Yes,43.99,No,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,Male,69,No,0,32.961064,-117.134917,47224,1
5244-IRFIH,1,33,No Offer,Yes,27.78,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,Male,72,Yes,0,32.961064,-117.134917,47224,1
2684-EIWEO,0,30,No Offer,Yes,45.88,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0.0,0,1376.4,Female,69,No,0,32.961064,-117.134917,47224,1
6683-VLCTZ,0,20,No Offer,Yes,44.44,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120,888.8,Male,73,No,0,32.961064,-117.134917,47224,1
0691-IFBQW,0,46,No Offer,Yes,2.37,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0,109.02000000000001,Female,65,No,0,36.798882,-120.019511,807,1
3643-AHCFP,1,7,No Offer,Yes,21.91,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,0.0,0,153.37,Male,74,Yes,0,36.545322,-119.642281,26213,1
9231-ZJYAM,0,4,No Offer,Yes,36.93,No,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,0.0,0,147.72,Female,65,No,0,36.719141,-119.202677,3146,1
0727-BMPLR,0,55,No Offer,Yes,37.38,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,0.0,100,2055.9,Female,66,No,0,36.654614,-119.903674,35790,1
0947-MUGVO,1,20,No Offer,Yes,5.37,No,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0.0,0,107.4,Male,71,Yes,0,35.930782,-121.189757,254,1
0781-LKXBR,0,9,No Offer,Yes,48.71,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0.0,0,438.39,Male,65,No,0,37.7795,-122.419233,28998,1
1907-UBQFC,0,10,No Offer,Yes,5.46,No,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,0.0,30,54.6,Male,69,No,0,37.791998,-122.408653,13723,1
6513-EECDB,0,1,No Offer,Yes,36.92,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55,0.0,0,36.92,Male,75,Yes,0,37.758085,-122.434801,30587,1
7074-IEVOJ,0,3,No Offer,Yes,41.9,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,0.0,0,125.69999999999999,Female,75,No,0,37.820894,-122.369725,1458,1
4750-ZRXIU,0,4,No Offer,Yes,6.68,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0.0,0,26.72,Female,68,No,0,37.386978,-122.177746,1723,1
7028-DVOIQ,0,35,No Offer,Yes,20.83,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,0.0,120,729.05,Male,71,No,0,38.140719,-121.838298,138,1
4208-UFFGW,0,2,Offer E,Yes,26.62,No,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,0.0,0,53.24,Male,80,No,0,37.83323,-121.601461,10153,1
9889-TMAHG,0,8,No Offer,Yes,11.57,No,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,0.0,0,92.56,Male,66,No,0,37.516791,-121.899117,46917,1
8919-FYFQZ,2,44,No Offer,No,0.0,No,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0.0,0,0.0,Male,73,Yes,0,37.571748,-121.659562,75929,1
6646-QVXLR,1,62,No Offer,Yes,7.11,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,0.0,0,440.82,Male,77,Yes,0,38.489789,-122.27011,63947,1
9369-XFEHK,1,33,No Offer,Yes,33.19,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,0.0,0,1095.27,Female,76,Yes,0,37.633361,-121.862395,36669,1
1374-DMZUI,0,4,Offer E,Yes,49.5,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,0.0,0,198.0,Female,65,No,0,37.766556,-121.976784,44078,1
1989-PRJHP,1,27,No Offer,Yes,10.6,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0.0,0,286.2,Male,75,Yes,0,37.685052,-121.912061,28568,1
4822-RVYBB,0,8,Offer E,Yes,40.45,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0.0,0,323.6,Male,75,No,0,37.871416,-122.246597,21205,1
4184-TJFAN,1,3,Offer E,Yes,25.77,No,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,0.0,0,77.31,Female,68,Yes,0,37.897753,-122.279391,11889,1
4145-UQXUQ,0,8,Offer E,Yes,42.93,No,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0.0,0,343.44,Female,71,No,0,37.872902,-122.303708,8157,1
1236-WFCDV,0,14,No Offer,Yes,11.31,No,Fiber Optic,24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,0.0,0,158.34,Male,74,No,0,37.946617,-122.563571,12010,1
1271-SJBGZ,0,12,No Offer,No,0.0,No,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,0.0,0,0.0,Male,77,No,0,38.010092,-122.689442,1025,1
4441-NIHPT,0,13,No Offer,Yes,40.37,No,Fiber Optic,21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,0.0,0,524.81,Female,73,No,0,36.936228,-121.785559,4753,1
8999-BOHSE,0,11,No Offer,Yes,3.96,No,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,0.0,0,43.56,Female,68,No,0,37.03889,-121.528955,49968,1
7029-RPUAV,1,17,No Offer,Yes,28.18,Yes,Cable,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,0.0,0,479.06,Male,74,Yes,0,37.222842,-121.988727,13290,1
8111-SLLHI,1,39,No Offer,Yes,33.25,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,4284.8,0.0,0,1296.75,Male,65,Yes,0,37.316146,-121.936285,32804,1
5293-WXJAK,5,11,No Offer,Yes,17.25,Yes,Fiber Optic,27,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.05,1133.65,0.0,0,189.75,Female,73,Yes,0,37.28682,-121.723877,15798,1
4086-YQSNZ,1,3,Offer E,Yes,3.29,No,Fiber Optic,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,224.05,0.0,0,9.870000000000001,Female,74,Yes,0,38.358464,-120.579304,21,1
8399-YNDCH,0,21,No Offer,Yes,34.62,No,DSL,14,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1236.15,0.0,0,727.02,Male,80,No,0,38.085839,-120.37855,2144,1
5565-FILXA,0,16,No Offer,Yes,38.75,Yes,Fiber Optic,16,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,1529.2,0.0,0,620.0,Female,76,No,0,33.141265,-116.967221,48690,1
4187-CINZD,0,46,No Offer,Yes,6.13,No,Fiber Optic,30,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,Credit Card,95.25,4424.2,0.0,0,281.98,Female,73,No,0,33.840524,-118.148403,30173,1
6818-WOBHJ,1,68,Offer A,Yes,24.13,Yes,Fiber Optic,24,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.6,6127.6,0.0,0,1640.84,Female,70,Yes,0,38.493888,-122.777141,476,1
9134-CEQMF,1,7,Offer E,Yes,13.63,No,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,676.7,0.0,0,95.41000000000001,Male,75,Yes,0,39.12334,-122.838198,2223,1
8519-IMDHU,1,15,No Offer,Yes,45.25,Yes,Cable,22,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1345.55,0.0,0,678.75,Male,74,Yes,0,40.166028,-123.584144,261,1
3372-KWFBM,0,16,No Offer,Yes,19.18,Yes,Fiber Optic,22,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.6,1281.0,0.0,0,306.88,Male,76,No,0,40.825486,-124.049485,1689,1
7206-GZCDC,0,1,Offer E,Yes,29.68,No,Cable,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,69.25,0.0,0,29.68,Female,75,No,0,40.665952,-124.240051,1447,1
1768-ZAIFU,0,1,No Offer,No,0.0,No,Cable,5,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.2,25.2,0.0,0,0.0,Female,74,No,0,40.485849,-124.163234,3284,1
3793-MMFUH,0,13,No Offer,Yes,19.03,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,1290.0,0.0,0,247.39000000000001,Female,73,No,0,38.544002,-121.685559,648,1
6567-HOOPW,0,1,No Offer,Yes,20.06,No,Fiber Optic,24,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.2,79.2,0.0,0,20.06,Female,69,No,0,38.672638,-121.147403,51855,1
8621-MNIHH,1,34,No Offer,Yes,2.88,Yes,Fiber Optic,4,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,3217.55,0.0,0,97.92,Female,75,Yes,0,38.674276,-121.961866,844,1
5419-CONWX,0,4,No Offer,Yes,12.68,No,Fiber Optic,10,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.8,442.85,0.0,0,50.72,Female,65,No,0,38.833554,-121.498102,901,1
7024-OHCCK,0,2,No Offer,Yes,19.27,Yes,Fiber Optic,18,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,170.85,0.0,0,38.54,Female,77,No,0,38.984756,-121.345074,1219,1
5357-TZHPP,0,9,No Offer,Yes,30.8,Yes,Fiber Optic,18,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,84.4,732.5,0.0,0,277.2,Male,67,No,0,39.043387,-121.409837,3600,1
0506-LVNGN,0,5,No Offer,Yes,42.33,No,Fiber Optic,9,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.55,349.65,0.0,0,211.64999999999998,Female,78,No,0,38.591134,-121.161585,299,1
9809-IMGCQ,0,22,Offer D,Yes,40.18,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,96.7,2082.95,0.0,100,883.96,Male,65,No,0,40.171312,-121.120605,86,1
3254-YRILK,0,19,Offer D,Yes,39.97,Yes,Fiber Optic,9,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.2,1775.8,0.0,0,759.43,Male,74,No,0,39.381174,-121.21191,614,1
0529-ONKER,0,15,Offer D,Yes,46.38,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,1146.65,0.0,0,695.7,Male,70,No,0,40.077028,-121.494168,1351,1
5240-IJOQT,0,1,No Offer,Yes,11.34,Yes,Fiber Optic,20,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,74.7,0.0,0,11.34,Male,69,No,0,39.099204,-121.137962,17922,1
0661-XEYAN,0,1,No Offer,No,0.0,No,DSL,26,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,25.8,25.8,0.0,20,0.0,Female,76,No,0,39.333737,-120.858667,17269,1
2660-EMUBI,0,10,Offer D,Yes,41.37,Yes,Fiber Optic,14,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,898.35,0.0,0,413.7,Male,71,No,0,33.141265,-116.967221,48690,1
7675-OZCZG,0,3,No Offer,Yes,30.14,No,DSL,6,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45.0,127.1,0.0,10,90.42,Female,76,No,0,33.362575,-117.299644,42239,1
9391-EOYLI,1,12,Offer D,Yes,6.97,No,Fiber Optic,19,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,950.2,0.0,0,83.64,Male,77,Yes,0,40.704293,-122.803899,1845,1
2761-OCIAX,0,2,No Offer,Yes,6.51,No,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,165.4,0.0,0,13.02,Male,74,No,0,40.582399,-122.195512,4931,1
3068-OMWZA,0,1,No Offer,Yes,49.6,Yes,Fiber Optic,20,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,88.8,0.0,10,49.6,Male,77,No,0,40.923558,-122.059933,459,1
4154-AQUGT,1,13,Offer D,Yes,1.47,No,Fiber Optic,5,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.05,1169.35,0.0,0,19.11,Male,76,Yes,0,32.957195,-117.202542,28201,1
8017-LXHFA,0,23,Offer D,Yes,31.17,No,Fiber Optic,23,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,2293.6,0.0,0,716.9100000000001,Female,77,No,0,32.957195,-117.202542,28201,1
4248-QPAVC,1,17,Offer D,Yes,36.82,Yes,Fiber Optic,6,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,1463.45,0.0,0,625.94,Female,80,Yes,0,32.957195,-117.202542,28201,1
4690-LLKUA,0,17,No Offer,Yes,40.93,No,DSL,2,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.05,770.6,0.0,0,695.81,Male,68,No,0,32.957195,-117.202542,28201,1
9490-DFPMD,0,42,No Offer,Yes,9.53,Yes,Fiber Optic,17,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.65,3541.35,0.0,0,400.26,Female,79,No,0,32.957195,-117.202542,28201,1
8580-AECUZ,0,1,No Offer,Yes,42.3,No,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1,79.1,0.0,0,42.3,Male,65,No,0,32.957195,-117.202542,28201,1
